J element	IMGT_gene_order	wtpri_30903b-045	wtpri_30903b-046	wtpri_30903b-047	kopri_30903b-048	kopri_30903b-049	kopri_30903b-050
TRAJ58	147	0.010309574819906	0.0113503226212044	0.0102713288531704	0.000506321573766586	0.000731754284613903	0.000180366307573745
TRAJ57	148	0.0100291888938416	0.00904711012556223	0.0108889087525699	0.00419949070006403	0.00685538224533025	0.00787052978503616
TRAJ56	149	0.00671488346010612	0.00590376800992153	0.00719968145878873	0.000729698738663609	0.00130945503562488	0.00145932739764212
TRAJ53	152	0.00805929802867126	0.00777834294433998	0.00636269817407627	0.00180190913016932	0.00219526285384171	0.00239395280961516
TRAJ52	153	0.0145728787726286	0.0132248975556229	0.0110839339839592	0.00729698738663609	0.00908915848257269	0.00810008690376638
TRAJ50	155	0.00549987778049377	0.00484646202556966	0.00502189970827476	0.00131047936739587	0.00204120932023878	0.0031318149769623
TRAJ49	156	0.0545314679281637	0.0545569887925566	0.0467491731742794	0.0138642760346086	0.0135181975736568	0.0143309229835867
TRAJ48	157	0.0119847009935727	0.0136706806192955	0.0116527575755113	0.00346979196140043	0.00396687849027537	0.00334497515864037
TRAJ47	158	0.0102592491408688	0.0103615986466483	0.0109620432143409	0.0042292743220503	0.00462160600808781	0.00403364651483103
TRAJ45	160	0.00868477432527643	0.00929857749481349	0.00898741274652408	0.00463135321886495	0.00223377623724244	0.00427960057061341
TRAJ43	162	0.0304757933483831	0.0341138347059261	0.0332274237979539	0.00291879495465444	0.00539187367610245	0.00477150868217817
TRAJ42	163	0.0208851568004371	0.021643339258057	0.0186167835463713	0.00984348706646215	0.0112459079530137	0.0206109498745634
TRAJ40	165	0.0230851079126346	0.0227063604098918	0.0238743387425748	0.00932227368170243	0.00797227036395147	0.00901831537868726
TRAJ39	166	0.0227040706284958	0.025695393003492	0.0236061790494145	0.0311089931646588	0.0325052955902176	0.0337121025792382
TRAJ38	167	0.00642730815132213	0.00637812691100913	0.00646833684107881	0.000148918109931349	0.00115540150202195	0.000344335678095332
TRAJ37	168	0.0696219822566034	0.0714281632023226	0.0667798896482232	0.101994013491981	0.101405738494127	0.127092659091282
TRAJ35	170	0.000222870864307591	0.000217176364353357	0.000178773128773535	0.000402078896814642	0.000192566917003659	0.000213160181678063
TRAJ34	171	0.0283189785325032	0.0290444811485201	0.0304158100454246	0.0243481109737755	0.0330829963412286	0.0264646564021841
TRAJ33	172	0.0108487785238759	0.0111331462568511	0.010880782701262	0.00591204896427455	0.00924321201617562	0.00724744617705413
TRAJ32	173	0.0198211281579364	0.0184085544626885	0.0172434808753382	0.0457178597489241	0.0468707875986905	0.0401069080295801
TRAJ31	174	0.0653227313902828	0.0632554737016568	0.0660404189792054	0.0423672022754687	0.02842287694974	0.0375653827864955
TRAJ30	175	0.0466950407638	0.05237950998154	0.0436937778825136	0.0551294842965853	0.0487964567687271	0.0527653434338466
TRAJ28	177	0.00509008296547658	0.00477216484829088	0.00455058873241726	0.000178701731917618	0.000462160600808781	8.19846852607933e-05
TRAJ27	178	0.048168864221318	0.0406862773113566	0.044969567937852	0.205641018004199	0.165492008472944	0.19779625166019
TRAJ26	179	0.0362776252031001	0.0340566830310962	0.0338043734408139	0.0105434021831395	0.0170614288465242	0.00914949087510453
TRAJ24	181	0.00675801975642371	0.00428066044475433	0.00466435345072769	0.15529180503641	0.173117658386289	0.132175709577451
TRAJ23	182	0.116949688699728	0.108891086053277	0.113740340156508	0.0362615597682834	0.0328904294242249	0.0309246232803712
TRAJ22	183	0.0491753778020619	0.0524480919913358	0.0542332664288442	0.0240055993209334	0.0344694781436549	0.0354337809697149
TRAJ21	184	0.0790975886810358	0.0856074937276037	0.089573463566849	0.0400589715715328	0.0272289620643173	0.0353845901585584
TRAJ18	187	0.0289588335945476	0.0282443577009024	0.0244106581288954	0.00808625336927224	0.00754862314654342	0.0056733402200469
TRAJ17	188	0.019648582972666	0.0186943128368377	0.0176416573894248	0.00985837887745529	0.0146735990756788	0.00942823880499123
TRAJ16	189	0.00539922642241937	0.00437210312448206	0.00684213520124166	0.00314217211955146	0.00523782014249952	0.00477150868217817
TRAJ15	190	0.0386429321178484	0.0428523257874072	0.0437181560364372	0.0604011853881551	0.0445214712112459	0.0454195156344795
TRAJ13	192	0.0178584266754856	0.0177970315420093	0.0227529436620863	0.00108710220249885	0.00100134796841903	0.000278747929886697
TRAJ12	193	0.0112585733388931	0.00881850342624291	0.0104582280332518	0.04052061771232	0.0418255343731947	0.0452719432010101
TRAJ11	194	0.00491753778020619	0.00562943997073834	0.00542820227366916	0.00278476865571622	0.00388985172347391	0.00314821191401446
TRAJ9	195	0.0216831782823127	0.0220205403119338	0.0242075068461982	0.0147131092612173	0.0145195455420759	0.0170364175971928
TRAJ6	198	0.0121860037097215	0.0132248975556229	0.014001186403491	0.00434840880999538	0.00585403427691123	0.00377129552199649
TRAJ5	199	0.00271039728528909	0.00213747263863568	0.00315290790746053	0.000268052597876428	0.00119391488542268	0.000131175496417269
TRAJ4	200	0.00622600543517334	0.00597235001971733	0.00765474033203046	0.00859257494303882	0.0319661082226074	0.0131503435158312
TRAJ2	202	0.00391821358218183	0.00305189943591297	0.00398989119217299	0.00296347038763384	0.00419795879067976	0.00193483857215472
