V element	IMGT_gene_order	wtpri_30903b-045	wtpri_30903b-046	wtpri_30903b-047	kopri_30903b-048	kopri_30903b-049	kopri_30903b-050
TRAV19	128	0.00555862596717966	0.006763065586595	0.00657327851498067	0	0	0
TRAV17	126	0.0466797041067936	0.0455497514321044	0.0426770723060637	0.0253044035521377	0.0343931306567649	0.0485602488211097
TRAV3-4	123	0.000435762265113511	0.000395353336529807	0.000529308944090204	0.000585919619152248	0.000556973775818055	0.000341125714859035
TRAV14-3	121	0.0230210016155089	0.0234772587713764	0.0225510229203082	0.0127437517165614	0.0129032258064516	0.0132035717868968
TRAV13-4-DV7	120	0.0184826970495706	0.0211556093909035	0.0200029542824786	0.0164972992767555	0.0150847064284057	0.0182602588542189
TRAV16	119	0.0215542896012244	0.0199527258350788	0.0223909992860484	0.00399157740547469	0.00598746809004409	0.0052974816895756
TRAV7-6	116	0.00504846526655897	0.00682194799841859	0.0076811344444718	0.00186761878604779	0.0030633557669993	0.00208688672619645
TRAV6-7-DV9	115	0.0211610407278293	0.0231744349391408	0.0204337871439474	0.00501693673899112	0.00538407983290787	0.00307013143373131
TRAV5-4	114	0.0231804268344529	0.0259923789335554	0.0183165513675866	0.00201409869083585	0.00255279647249942	0.00218721781880205
TRAV4-4-DV10	113	0.0100756738372587	0.00949689184983303	0.00924444225608705	0.0140437608715554	0.0109538175910884	0.0123607906090097
TRAV9-4	112	0.0386127880282289	0.0398045103927457	0.0313030847632881	0.00571271628673441	0.00524483638895335	0.00854820908999699
TRAV3-3	111	0.0318850437887935	0.0400736871325107	0.0323863216721239	0.0113155726448778	0.0115572058482246	0.0134844988461924
TRAV14-2	109	0.253358557945753	0.231130289953819	0.256419409635885	0.0364185663279319	0.0671617544673938	0.0487207785692786
TRAV13-2	108	0.00463395969730465	0.00595553536730007	0.00505920874467614	0	0	0
TRAV12-3	107	0.0117762095059944	0.0103801280271869	0.00946601344198528	0.000787329488235833	0.00176375029009051	0.0015250326076051
TRAV12-2	104	0.0169628432956381	0.0202219025748438	0.0169501957212142	0.0771582898471116	0.0611278718960316	0.0675830239791311
TRAV4-3	102	0.00265708698239946	0.00169076639664875	0.00135404613604471	0.0229973450517257	0.0213042469250406	0.037383365104846
TRAV9-2	101	0.0200238074993623	0.0206761383231971	0.0194859548487161	0.0155268699075346	0.0132281271756788	0.0210895956656968
TRAV14-1	98	0.0381982824589746	0.0322507381330911	0.0395627661931608	0.00386340748878513	0.00979345555813414	0.002347747566971
TRAV13-1	97	0.0172179236459485	0.014039249333367	0.0170240527831803	0.00428453721505081	0.00422371779995359	0.00357178689675931
TRAV12-1	96	0.00320976107473854	0.00328900328900329	0.00262192569979566	0.00309438798864781	0.00204223717799954	0.00172569479281629
TRAV7-5	95	0.022383300739733	0.025512907865849	0.0255791624609173	0.236253776435045	0.235924808540265	0.204856024882111
TRAV10	92	0.0228084346569169	0.0248736131089072	0.0231788079470199	0.000732399523940309	0.00120677651427245	0.000842781177887027
TRAV6-5	91	0.0234461355326928	0.025782084605614	0.0231172603953815	0.010747963013824	0.0112323044789974	0.00923046051971506
TRAV9-1	90	0.0497406683105178	0.0620200031964738	0.0525369900785347	0.0584271720223382	0.033325597586447	0.0635898464934283
TRAV8-1	89	0.00886404217328459	0.00854636148753796	0.00755803934119501	0	0	0
TRAV7-4	88	0.0277187314003911	0.0284654402301461	0.025899209729437	0.0121944520736062	0.00923648178231608	0.0125213203571787
TRAV6-4	87	0.00742921520278888	0.00890806773159714	0.00747187276890125	0.00195916872654033	0.00269203991645393	0.00144476773352062
TRAV7-3	86	0.0251147861576397	0.0250670838906133	0.0232034269676752	0.179968873020233	0.168298909259689	0.201324370422394
TRAV6-3	85	0.0019768727149052	0.00233847292670822	0.00196952165242867	0	0	0
TRAV4-2	84	0.00475087152453023	0.00338994456641515	0.00379132918092518	0.00153803900027465	0.00334184265490833	0.00315039630781579
TRAV14N-3	81	0.0274955360938696	0.0264886735474971	0.025973066791403	0.00133662913119106	0.00116036203295428	0.00246814487809772
TRAV13N-4	80	0.00034010713374713	0.000311235605353252	0.000615475516383958	0.00162958894076719	0.00241355302854491	0.00305006521521019
TRAV16N	79	0.0363702066150837	0.0389212742153919	0.0453236170265147	0.00816625469193445	0.0111394755163611	0.00760509681950436
TRAV8N-2	78	0.00233823654451152	0.00132906015258956	0.00150176025997686	0.000238029845280601	0.000324901369227199	0.000140463529647838
TRAV9N-4	72	0.0190034860981209	0.0166384872267225	0.0147591028828873	0.00172113888125973	0.00324901369227199	0.00317046252633691
TRAV9N-2	61	0.00175367740838364	0.00165711930417813	0.00219109283832689	0.00109859928591046	0.00143884892086331	0.00146483395204174
TRAV13N-1	57	0.00431510925941672	0.00497976968565204	0.00640094537039317	0	0	0
TRAV6N-6	53	0.0189290876626137	0.0159487218310748	0.0223540707550654	0.121212121212121	0.124576467857972	0.0809471255141968
TRAV10N	52	0.00748235694243687	0.00923612688318571	0.00748418227922893	0.00115352925020599	0.00134601995822697	0.000341125714859035
TRAV6N-5	51	0.00542045744409489	0.00648547707371237	0.00695487333513873	0.00225212853611645	0.00287769784172662	0.002347747566971
TRAV7N-4	49	0.00799251764305756	0.00747806630159571	0.00849356212609862	0.000476059690561201	0.000556973775818055	0.000521721681549112
TRAV14D-3-DV8	47	0.0068127710228722	0.00522371110606405	0.00843201457446023	0.00201409869083585	0.00278486887909028	0.00120397311126718
TRAV13D-4	46	0.00034010713374713	0.00035329447094153	0.000504689923434846	0.000311269797674632	0.000278486887909028	0.000100331092605598
TRAV16D-DV11	45	0.00423008247597993	0.00397035691153338	0.00435756665599842	0.00287466813146571	0.00218148062195405	0.00305006521521019
TRAV8D-2	44	0.00024445200238075	0.000218706101059042	0.000270809227208942	0.00109859928591046	0.00245996750986308	0.00126417176683054
TRAV13D-1	23	0.00180681914803163	0.00116082469023645	0.00150176025997686	0	0	0
TRAV10D	18	0.000882152878156619	0.00114400114400114	0.00184642654915187	0	0	0
TRAV6D-5	17	0.00117974662018536	0.000992589227883346	0.00167409340456437	1.83099880985077e-05	0.000232072406590856	2.00662185211197e-05
TRAV9D-1	16	0.00566490944647564	0.00577888813182931	0.0062039932051503	0.00714089535841802	0.00877233696913437	0.0052974816895756
TRAV8D-1	15	0.000627072527846272	0.000403765109647463	0.000480070902779487	0	0	0
TRAV7D-4	14	0.00555862596717966	0.0053835347952995	0.00493611364139934	0.00247184839329854	0.00199582269668136	0.0026487408447878
TRAV6D-4	13	0.00273148541790664	0.00227959051488463	0.00222802136930993	0.000329579785773139	0.000464144813181713	6.01986555633591e-05
TRAV7D-3	12	0.00725916163591531	0.00719206601559543	0.00766882493414412	0.0737526320607892	0.0667904386168485	0.0696498444868065
TRAV6D-3	11	0.00183870419182042	0.00267494385141444	0.00166178389423669	0	0	0
TRAV6-2	8	0.00155173879772128	0.00162347221170751	0.00162485536325365	0.000439439714364186	4.64144813181713e-05	0.000100331092605598
TRAV7-1	7	0.0121800867273191	0.00883236177353824	0.011201654398188	0.00360706765540602	0.00496634950104433	0.00309019765225243
TRAV6-1	6	0.000446390613043109	0.000504706387059328	0.000369285309830375	0.000329579785773139	0.000789046182408912	0.00208688672619645
TRAV5-1	5	0.00229572315279313	0.00126176596764832	0.00167409340456437	0.00128169916689554	0.00556973775818055	0.00106350958161934
TRAV3-1	3	0.00235949324037072	0.00139635433753081	0.00145252221866614	0	0	0
TRAV2	2	0.00241263498001871	0.00279270867506162	0.002954282478643	0	0	0
TRAV1	1	0.000170053566873565	0.000143000143000143	0.000566237475073242	0	0	0
