Total deletions or additions	30903b-045_wtpri	30903b-046_wtpri	30903b-047_wtpri	30903b-048_kopri	30903b-049_kopri	30903b-050_kopri
0	0.0165182082952444	0.0181711112980567	0.0165575142800867	0.000329579785773139	0.00255279647249942	0.00134443664091502
1	0.0177618571823381	0.0187347522503575	0.0192904274177664	0.00476059690561201	0.00566256672081689	0.00459516404133641
2	0.0835476944662939	0.0853200975855977	0.0770139846365964	0.0322072690652751	0.0311905314458111	0.0412962777164643
3	0.145868322030655	0.152813998485741	0.157437955485523	0.0562299734505173	0.0477605012763982	0.0640513695194141
4	0.0901167116647888	0.0914276099941112	0.0879333267677763	0.0210564863132839	0.0240427013228127	0.0216514497842882
5	0.114107442760263	0.117439219315218	0.121109907425645	0.125514968415271	0.109074031097702	0.113012942710946
6	0.112629945364485	0.106671153360814	0.108934902501477	0.190515426164973	0.211835692736134	0.1652252433029
7	0.101915431875678	0.102994868343569	0.114930076817018	0.158381397052092	0.125319099559062	0.14766730209692
8	0.0937732519823976	0.0912593589635737	0.0896814063423281	0.0537947450334157	0.0682292875377118	0.0618440854820909
9	0.0717808626884075	0.0685202321864221	0.0676949970454993	0.0892978119564222	0.0935715943374333	0.0946523527641216
10	0.0544122961797657	0.0550096744342559	0.0532918061847548	0.0767737800970429	0.0787653747969366	0.077455603491522
11	0.035566232275346	0.0326995877849752	0.0304067362615718	0.0743934816442369	0.0731028080761198	0.0894752683856727
12	0.0310912221773422	0.0337511567258349	0.0287571400433327	0.0463242698892246	0.0389881643072639	0.0441858131835056
13	0.0154871489615	0.010768065954404	0.0129628717746701	0.027336812231072	0.0323973079600835	0.0333701214006221
14	0.00880120750866303	0.00740304534365273	0.00717697459129407	0.0150691202050719	0.0127175678811789	0.0145078759907695
15	0.00233848508684283	0.00233868932447211	0.00260980894228875	0.0149775702645793	0.0229287537711766	0.0137252934684459
>15	0.00428367949998937	0.00467737864894423	0.00421016348237148	0.0130367115261375	0.0218612207008587	0.0119394000200662
