Genotype	Sample	TCRa_reads	Observation_type	Shannon_diversity	Coverage
WT	30903b-045	1	Rarefaction	1	0.00129324761884064
WT	30903b-045	781	Rarefaction	525.778327577911	0.318032808978215
WT	30903b-045	1561	Rarefaction	855.207398847103	0.410900817198332
WT	30903b-045	2341	Rarefaction	1105.28811127584	0.468043038691036
WT	30903b-045	3122	Rarefaction	1308.68148204731	0.509358693784752
WT	30903b-045	3902	Rarefaction	1480.04726616137	0.541499645946697
WT	30903b-045	4682	Rarefaction	1628.26180186489	0.56769935624411
WT	30903b-045	5462	Rarefaction	1758.7481367851	0.589724228998737
WT	30903b-045	6243	Rarefaction	1875.32199498315	0.608686120376065
WT	30903b-045	7023	Rarefaction	1980.30532357165	0.625256258248168
WT	30903b-045	7803	Rarefaction	2075.79304412603	0.639959383849736
WT	30903b-045	8584	Rarefaction	2163.37029208189	0.653170804474265
WT	30903b-045	9364	Rarefaction	2243.96848162307	0.665123604737398
WT	30903b-045	10144	Rarefaction	2318.62482973135	0.676038448911309
WT	30903b-045	10924	Rarefaction	2388.08546120474	0.686072933188687
WT	30903b-045	11705	Rarefaction	2453.04461369354	0.695363164719528
WT	30903b-045	12485	Rarefaction	2513.84768285889	0.703985589285176
WT	30903b-045	13265	Rarefaction	2571.01111489072	0.712034110767607
WT	30903b-045	14046	Rarefaction	2624.96806521573	0.719585342358604
WT	30903b-045	14826	Rarefaction	2675.89459501539	0.72667606413918
WT	30903b-045	15606	Rarefaction	2724.13309431946	0.733363455946959
WT	30903b-045	16386	Rarefaction	2769.91965831434	0.739687623992322
WT	30903b-045	17167	Rarefaction	2813.51551857143	0.745690416981898
WT	30903b-045	17947	Rarefaction	2854.99133839471	0.751386152778393
WT	30903b-045	18727	Rarefaction	2894.56556623931	0.756808496992541
WT	30903b-045	19507	Rarefaction	2932.38164227657	0.761979996831921
WT	30903b-045	20288	Rarefaction	2968.61314178135	0.766926684144534
WT	30903b-045	21068	Rarefaction	3003.28240385146	0.771653458109145
WT	30903b-045	21848	Rarefaction	3036.54040285558	0.776182397143008
WT	30903b-045	22629	Rarefaction	3068.52087916663	0.78053289325006
WT	30903b-045	23409	Rarefaction	3099.22689529117	0.784706318077437
WT	30903b-045	24189	Rarefaction	3128.77740848867	0.788719613477789
WT	30903b-045	24969	Rarefaction	3157.24281887942	0.792582955860246
WT	30903b-045	25750	Rarefaction	3184.72206864761	0.796310262768539
WT	30903b-045	26530	Rarefaction	3211.20388217875	0.799900400119665
WT	30903b-045	27310	Rarefaction	3236.77833174467	0.803365898849687
WT	30903b-045	28091	Rarefaction	3261.52654565696	0.806718000659128
WT	30903b-045	28871	Rarefaction	3285.43131833358	0.809954574740418
WT	30903b-045	29651	Rarefaction	3308.56753065202	0.813085919678095
WT	30903b-045	30431	Rarefaction	3330.97470958929	0.816117508774375
WT	30903b-045	31212	Rarefaction	3352.71695738772	0.819058109010511
WT	30903b-045	31992	Rarefaction	3373.77275378649	0.821904884464036
WT	30903b-045	32772	Rarefaction	3394.20215249257	0.824666013073235
WT	30903b-045	33553	Rarefaction	3414.05985256795	0.827348929300329
WT	30903b-045	34333	Rarefaction	3433.32272949203	0.829950540632516
