iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00319807041678188	0.00315981786158979	0.00323632297197398	Assemblage1	0.00319807041678188	1	Rarefaction	1	1	0.995268676756913	1.00473132324309
Assemblage1	792	Rarefaction	1	363.726448011006	362.410751343407	365.042144678605	0.49768080996692	0.496867293716404	0.498494326217435	Assemblage1	0.497680804665194	792	Rarefaction	1	363.726439150775	361.334313075816	366.118565225733
Assemblage1	1583	Rarefaction	1	526.329630211968	524.215725842124	528.443534581811	0.579705649461165	0.578932095834335	0.580479203087995	Assemblage1	0.579705647595007	1583	Rarefaction	1	526.329626029883	522.99374075146	529.665511308305
Assemblage1	2374	Rarefaction	1	636.064031187787	633.385637931625	638.742424443948	0.624746849710097	0.623984078412621	0.625509621007574	Assemblage1	0.624746848114512	2374	Rarefaction	1	636.064027485258	632.202715894513	639.925339076003
Assemblage1	3166	Rarefaction	1	719.324358268916	716.210392179834	722.438324357999	0.655474856910884	0.654690956911901	0.656258756909867	Assemblage1	0.655474855784389	3166	Rarefaction	1	719.324355317512	715.038612201456	723.610098433569
Assemblage1	3957	Rarefaction	1	786.220253206105	782.752360945296	789.688145466914	0.678540503414515	0.677726136542044	0.679354870286987	Assemblage1	0.678540502617338	3957	Rarefaction	1	786.220251124086	781.534568822702	790.905933425471
Assemblage1	4748	Rarefaction	1	842.082432182699	838.315124683981	845.849739681418	0.696908337049958	0.696066578695493	0.697750095404423	Assemblage1	0.696908336593733	4748	Rarefaction	1	842.082431294072	837.013819043569	847.151043544575
Assemblage1	5540	Rarefaction	1	889.995880563543	885.967583717559	894.024177409527	0.712123003463186	0.711260748358742	0.712985258567631	Assemblage1	0.712123002770351	5540	Rarefaction	1	889.995877501286	884.56584310519	895.425911897381
Assemblage1	6331	Rarefaction	1	931.765684379419	927.505529874723	936.025838884116	0.725042329684978	0.724166308271721	0.725918351098234	Assemblage1	0.72504233057788	6331	Rarefaction	1	931.765687737588	925.999521841814	937.531853633362
Assemblage1	7122	Rarefaction	1	968.758708574243	964.288903104865	973.22851404362	0.736255379224863	0.73537076082654	0.737139997623185	Assemblage1	0.736255378973977	7122	Rarefaction	1	968.758708258677	962.681222573631	974.836193943723
Assemblage1	7914	Rarefaction	1	1001.93817614191	997.276166711027	1006.60018557278	0.7461560762552	0.745266399330462	0.747045753179937	Assemblage1	0.746156076231776	7914	Rarefaction	1	1001.9381757244	995.572417179308	1008.3039342695
Assemblage1	8705	Rarefaction	1	1031.90035743772	1027.06084690159	1036.73986797386	0.754988378883688	0.75409589785287	0.755880859914507	Assemblage1	0.754988378500668	8705	Rarefaction	1	1031.9003563014	1025.26827645008	1038.53243615271
Assemblage1	9496	Rarefaction	1	1059.20402617378	1054.19909535349	1064.20895699406	0.762961207484618	0.76206727777756	0.763855137191677	Assemblage1	0.762961206646806	9496	Rarefaction	1	1059.20402370635	1052.3253802727	1066.08266714
Assemblage1	10288	Rarefaction	1	1084.27893640051	1079.11868954633	1089.43918325468	0.770229963073669	0.769335392606487	0.771124533540851	Assemblage1	0.770229962562637	10288	Rarefaction	1	1084.27893442585	1077.17154470663	1091.38632414507
Assemblage1	11079	Rarefaction	1	1107.37830147622	1102.07185471102	1112.68474824142	0.776888910448342	0.775994208942285	0.777783611954399	Assemblage1	0.776888910585959	11079	Rarefaction	1	1107.37830180194	1100.05909227021	1114.69751133366
Assemblage1	11870	Rarefaction	1	1128.78978770933	1123.34496767913	1134.23460773953	0.783035723740637	0.78214125830739	0.783930189173884	Assemblage1	0.783035723215579	11870	Rarefaction	1	1128.78978604339	1121.27403029648	1136.30554179031
