Subrepertoire	Sample	TCRa_reads	Observation_type	Shannon_diversity	Coverage
Ctsl-dependent	30903b-045	1	Rarefaction	1	0.00317683568979521
Ctsl-dependent	30903b-045	280	Rarefaction	194.162225680363	0.317342784713233
Ctsl-dependent	30903b-045	559	Rarefaction	315.331800348479	0.434239367899084
Ctsl-dependent	30903b-045	838	Rarefaction	404.710679659408	0.510600012323228
Ctsl-dependent	30903b-045	1118	Rarefaction	475.182741846162	0.566827099041742
Ctsl-dependent	30903b-045	1397	Rarefaction	532.475754971351	0.610454502403078
Ctsl-dependent	30903b-045	1676	Rarefaction	580.465086691029	0.645736938475412
Ctsl-dependent	30903b-045	1956	Rarefaction	621.575086910309	0.675123090781249
Ctsl-dependent	30903b-045	2235	Rarefaction	657.067089560644	0.699906312258569
Ctsl-dependent	30903b-045	2514	Rarefaction	688.198991328084	0.721215258583788
Ctsl-dependent	30903b-045	2794	Rarefaction	715.872279668168	0.739829965579705
Ctsl-dependent	30903b-045	3073	Rarefaction	740.501660514508	0.756144566466385
Ctsl-dependent	30903b-045	3352	Rarefaction	762.663729073206	0.770625456685487
Ctsl-dependent	30903b-045	3631	Rarefaction	782.730271731174	0.783576874971795
Ctsl-dependent	30903b-045	3911	Rarefaction	801.061575598533	0.795277036619244
Ctsl-dependent	30903b-045	4190	Rarefaction	817.769125466416	0.805832809126596
Ctsl-dependent	30903b-045	4469	Rarefaction	833.120066456249	0.815441406349743
Ctsl-dependent	30903b-045	4749	Rarefaction	847.32821294119	0.824258202272573
Ctsl-dependent	30903b-045	5028	Rarefaction	860.43089734434	0.832323938603087
Ctsl-dependent	30903b-045	5307	Rarefaction	872.597978863832	0.839757730909281
Ctsl-dependent	30903b-045	5587	Rarefaction	883.968498438687	0.846655838104735
Ctsl-dependent	30903b-045	5866	Rarefaction	894.54718581516	0.85303068852936
Ctsl-dependent	30903b-045	6145	Rarefaction	904.450122982985	0.858960425387779
Ctsl-dependent	30903b-045	6424	Rarefaction	913.741657578799	0.864490246212174
Ctsl-dependent	30903b-045	6704	Rarefaction	922.508397071792	0.869677190264207
Ctsl-dependent	30903b-045	6983	Rarefaction	930.737240653091	0.874518353391109
Ctsl-dependent	30903b-045	7262	Rarefaction	938.50400776551	0.879062669450835
Ctsl-dependent	30903b-045	7542	Rarefaction	945.872879884562	0.883351190303657
Ctsl-dependent	30903b-045	7821	Rarefaction	952.825634512069	0.887376486521339
Ctsl-dependent	30903b-045	8100	Rarefaction	959.419949895289	0.891174863294457
Ctsl-dependent	30903b-045	8380	Rarefaction	965.705144375761	0.894777107644452
Ctsl-dependent	30903b-045	8659	Rarefaction	971.661048768727	0.898173872427483
Ctsl-dependent	30903b-045	8938	Rarefaction	977.332906052014	0.901393036095313
Ctsl-dependent	30903b-045	9217	Rarefaction	982.740802654569	0.904447782336082
Ctsl-dependent	30903b-045	9497	Rarefaction	987.921027089021	0.907360152558525
Ctsl-dependent	30903b-045	9776	Rarefaction	992.853172058247	0.910120146650598
Ctsl-dependent	30903b-045	10055	Rarefaction	997.571237612032	0.912748206038415
Ctsl-dependent	30903b-045	10335	Rarefaction	1002.10483118858	0.915261990925129
Ctsl-dependent	30903b-045	10614	Rarefaction	1006.4341962622	0.917651679609164
Ctsl-dependent	30903b-045	10893	Rarefaction	1010.58741678259	0.919933876995548
