iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00615947673798789	0.00609216542588778	0.006226788050088	Assemblage1	0.00615947673798789	1	Rarefaction	1	1	0.998320893660797	1.0016791063392
Assemblage1	422	Rarefaction	1	185.887318934172	185.064695098725	186.709942769618	0.556473381215355	0.555710343249406	0.557236419181303	Assemblage1	0.556473379568224	422	Rarefaction	1	185.887317945443	184.64100598261	187.133629908277
Assemblage1	844	Rarefaction	1	259.137234375941	257.85449889508	260.419969856801	0.666025874076055	0.665487219879671	0.666564528272439	Assemblage1	0.666025876181717	844	Rarefaction	1	259.137235904895	257.632418958158	260.642052851632
Assemblage1	1265	Rarefaction	1	303.89522384287	302.330094856587	305.460352829154	0.724016059543254	0.723421000780857	0.72461111830565	Assemblage1	0.724016057023461	1265	Rarefaction	1	303.895221744092	302.07605837472	305.714385113464
Assemblage1	1687	Rarefaction	1	335.401916373753	333.632546911044	337.171285836462	0.761873460727401	0.761258045321942	0.76248887613286	Assemblage1	0.761873462502093	1687	Rarefaction	1	335.401917824179	333.324321215429	337.479514432928
Assemblage1	2108	Rarefaction	1	359.145669724543	357.217231369807	361.074108079278	0.789007149376447	0.78839429072614	0.789620008026754	Assemblage1	0.789007147040132	2108	Rarefaction	1	359.145667652499	356.875526113434	361.415809191565
Assemblage1	2530	Rarefaction	1	377.980096076844	375.921711933012	380.038480220677	0.809757141028316	0.809154849759064	0.810359432297567	Assemblage1	0.809757140504133	2530	Rarefaction	1	377.98009567812	375.566025967716	380.394165388524
Assemblage1	2951	Rarefaction	1	393.33987521698	391.172950963848	395.506799470113	0.826215975634719	0.82562666653112	0.826805284738318	Assemblage1	0.826215974643107	2951	Rarefaction	1	393.339874267889	390.816716356942	395.863032178837
Assemblage1	3373	Rarefaction	1	406.232929291188	403.973162230115	408.492696352261	0.839738963987434	0.839163390649579	0.840314537325289	Assemblage1	0.839738965119619	3373	Rarefaction	1	406.232930365407	403.624697484451	408.841163246363
Assemblage1	3794	Rarefaction	1	417.20674853504	414.866786880862	419.546710189218	0.851058448242473	0.850496797866084	0.851620098618861	Assemblage1	0.85105844913074	3794	Rarefaction	1	417.206749355857	414.530821182926	419.882677528788
Assemblage1	4216	Rarefaction	1	426.732381755571	424.322001961988	429.142761549155	0.860756344031114	0.86020867770907	0.861304010353158	Assemblage1	0.860756344785461	4216	Rarefaction	1	426.732382528739	424.00097788269	429.463787174789
Assemblage1	4637	Rarefaction	1	435.062545975011	432.590023103485	437.535068846537	0.869150053370572	0.868616201754021	0.869683904987122	Assemblage1	0.869150053783431	4637	Rarefaction	1	435.062546371574	432.284799213981	437.840293529168
Assemblage1	5059	Rarefaction	1	442.456735322572	439.928649761574	444.98482088357	0.876540024077114	0.876019685775429	0.877060362378799	Assemblage1	0.876540023783364	5059	Rarefaction	1	442.456735037886	439.639215297635	445.274254778138
Assemblage1	5480	Rarefaction	1	449.045476630159	446.467588128401	451.623365131916	0.883082403665008	0.882574998259156	0.883589809070861	Assemblage1	0.883082403852914	5480	Rarefaction	1	449.045476839436	446.193268637268	451.897685041605
Assemblage1	5902	Rarefaction	1	454.988269469437	452.36524103336	457.611297905514	0.888952947232618	0.888457753565435	0.889448140899802	Assemblage1	0.888952947496706	5902	Rarefaction	1	454.988269778701	452.105091960278	457.871447597125
Assemblage1	6324	Rarefaction	1	460.369581391519	457.705508643183	463.033654139856	0.89424689023837	0.893762991980864	0.894730788495877	Assemblage1	0.894246890215845	6324	Rarefaction	1	460.369581366551	457.458370497267	463.280792235835
Assemblage1	6745	Rarefaction	1	465.258980868016	462.557481894316	467.960479841716	0.899041000504005	0.898567346670315	0.899514654337696	Assemblage1	0.899041000835109	6745	Rarefaction	1	465.258981202488	462.322092699276	468.1958697057
Assemblage1	7167	Rarefaction	1	469.744915215249	467.008968536331	472.480861894166	0.903427800669168	0.902963331668383	0.903892269669952	Assemblage1	0.903427800978379	7167	Rarefaction	1	469.744915536551	466.784121616804	472.705709456299
Assemblage1	7588	Rarefaction	1	473.859442043643	471.091807160456	476.62707692683	0.90744273639796	0.906986340477255	0.907899132318666	Assemblage1	0.907442736404028	7588	Rarefaction	1	473.859442024704	470.876286694431	476.842597354977
Assemblage1	8010	Rarefaction	1	477.666452012897	474.869416613792	480.463487412002	0.911151086811913	0.910701720897988	0.911600452725838	Assemblage1	0.911151087101549	8010	Rarefaction	1	477.666452318191	474.662121268773	480.670783367609
Assemblage1	8431	Rarefaction	1	481.184907699815	478.360628401778	484.009186997853	0.914573426061338	0.914130071946698	0.915016780175978	Assemblage1	0.914573426917562	8431	Rarefaction	1	481.184908541555	478.160505719018	484.209311364092
Assemblage1	8853	Rarefaction	1	484.462873037258	481.613146363276	487.31259971124	0.917758029838801	0.91731977389984	0.918196285777762	Assemblage1	0.917758029251276	8853	Rarefaction	1	484.462872418873	481.419267609824	487.506477227922
Assemblage1	9274	Rarefaction	1	487.511411300099	484.637957588455	490.384865011743	0.920716749721674	0.920282738845919	0.921150760597428	Assemblage1	0.920716749299107	9274	Rarefaction	1	487.511410840205	484.449463004692	490.573358675717
Assemblage1	9696	Rarefaction	1	490.367879281167	487.472136206751	493.263622355583	0.923486648837691	0.923056137277158	0.923917160398224	Assemblage1	0.92348664885256	9696	Rarefaction	1	490.367879326287	487.28828562849	493.447473024084
Assemblage1	10117	Rarefaction	1	493.038414709375	490.121778954349	495.9550504644	0.92607426745036	0.925646577450078	0.926501957450642	Assemblage1	0.926074267883678	10117	Rarefaction	1	493.038415192138	489.941896400907	496.134933983369
Assemblage1	10539	Rarefaction	1	495.552837653094	492.616478693844	498.489196612343	0.928508933998145	0.928083480893439	0.928934387102852	Assemblage1	0.92850893444136	10539	Rarefaction	1	495.552838117098	492.439991869384	498.665684364813
Assemblage1	10960	Rarefaction	1	497.91413883256	494.959208153575	500.869069511544	0.930793864336842	0.930370125741615	0.931217602932068	Assemblage1	0.930793864370946	10960	Rarefaction	1	497.914138886241	494.785604301204	501.042673471278
Assemblage1	11382	Rarefaction	1	500.146655170832	497.174117880357	503.119192461306	0.932952847262313	0.932530375070609	0.933375319454017	Assemblage1	0.932952847585449	11382	Rarefaction	1	500.146655518023	497.002971648093	503.290339387954
Assemblage1	11804	Rarefaction	1	502.256194617296	499.266974540504	505.245414694089	0.934991674846577	0.934570075809706	0.935413273883448	Assemblage1	0.934991675156657	11804	Rarefaction	1	502.256194940691	499.09791364627	505.414476235112
Assemblage1	12225	Rarefaction	1	504.248406424411	501.243387300552	507.25342554827	0.936915949021243	0.936494882362828	0.937337015679657	Assemblage1	0.936915949042846	12225	Rarefaction	1	504.248406427752	501.076096153813	507.420716701692
Assemblage1	12647	Rarefaction	1	506.141852063082	503.121774638827	509.161929487337	0.93874370591463	0.938322881282336	0.939164530546924	Assemblage1	0.938743705258572	12647	Rarefaction	1	506.141851404225	502.955995198191	509.327707610259
Assemblage1	13068	Rarefaction	1	507.935648902851	504.901264951494	510.970032854208	0.940474179523259	0.940053348575048	0.94089501047147	Assemblage1	0.940474179608297	13068	Rarefaction	1	507.935648989964	504.736781121703	511.134516858224
Assemblage1	13490	Rarefaction	1	509.645586086098	506.597525308751	512.693646863445	0.94212267320357	0.941701626957199	0.942543719449941	Assemblage1	0.942122673011071	13490	Rarefaction	1	509.645585866425	506.434164812508	512.857006920341
Assemblage1	13911	Rarefaction	1	511.270067747316	508.208976297024	514.331159197608	0.943687709918227	0.943266276369541	0.944109143466912	Assemblage1	0.943687710277996	13911	Rarefaction	1	511.27006812598	508.046600238643	514.493536013317
Assemblage1	14333	Rarefaction	1	512.822694643873	509.749113131411	515.896276156336	0.945182447613384	0.944760486128191	0.945604409098577	Assemblage1	0.94518244821953	14333	Rarefaction	1	512.822695273389	509.587617898729	516.057772648049
Assemblage1	14754	Rarefaction	1	514.301408969453	511.215897962279	517.386919976627	0.946604955858106	0.946182358894794	0.947027552821418	Assemblage1	0.946604955790495	14754	Rarefaction	1	514.301408894262	511.055202344986	517.547615443538
Assemblage1	15176	Rarefaction	1	515.718054868413	512.621082657795	518.815027079031	0.94796667675989	0.947543362168124	0.948389991351656	Assemblage1	0.947966676672363	15176	Rarefaction	1	515.71805477006	512.461136885663	518.974972654457
Assemblage1	15597	Rarefaction	1	517.070283593555	513.962340602191	520.17822658492	0.949265399644415	0.948841314882015	0.949689484406816	Assemblage1	0.949265399818814	15597	Rarefaction	1	517.070283765343	513.80310992679	520.337457603895
Assemblage1	16019	Rarefaction	1	518.368508166692	515.250003341557	521.487012991826	0.950511171941768	0.950086285078232	0.950936058805305	Assemblage1	0.950511172315668	16019	Rarefaction	1	518.368508574544	515.09147691288	521.645540236207
Assemblage1	16440	Rarefaction	1	519.610206570945	516.481572238272	522.738840903618	0.951701619955447	0.951275925110401	0.952127314800493	Assemblage1	0.951701619679409	16440	Rarefaction	1	519.61020627199	516.323749400149	522.89666314383
Assemblage1	16862	Rarefaction	1	520.804610691938	517.666206606562	523.943014777315	0.952845641363201	0.952419149222253	0.95327213350415	Assemblage1	0.952845641509984	16862	Rarefaction	1	520.804610858586	517.509105929141	524.10011578803
Assemblage1	17283	Rarefaction	1	521.949106619461	518.801316517598	525.096896721324	0.953940779724034	0.953513523218986	0.954368036229081	Assemblage1	0.953940779799898	17283	Rarefaction	1	521.94910670715	518.644962771945	525.253250642354
Assemblage1	17705	Rarefaction	1	523.051939900745	519.895082376184	526.208797425305	0.954994972861867	0.954566997967845	0.95542294775589	Assemblage1	0.954994973174524	17705	Rarefaction	1	523.051940229031	519.739515054204	526.364365403858
Assemblage1	18127	Rarefaction	1	524.112927933276	520.94732535349	527.278530513062	0.956008090645184	0.955579460090483	0.956436721199884	Assemblage1	0.956008091164765	18127	Rarefaction	1	524.112928481498	520.7925894	527.433267562997
Assemblage1	18548	Rarefaction	1	525.132084064374	521.958060992298	528.306107136449	0.956980198537352	0.956550989446493	0.95740940762821	Assemblage1	0.956980198805916	18548	Rarefaction	1	525.132084336454	521.804204987609	528.459963685298
Assemblage1	18970	Rarefaction	1	526.116453009211	522.934277912399	529.298628106024	0.957918065228086	0.957488363365366	0.958347767090806	Assemblage1	0.957918065316066	18970	Rarefaction	1	526.116453103013	522.781360894324	529.451545311701
Assemblage1	19391	Rarefaction	1	527.063402038698	523.873367175346	530.253436902049	0.958819231511767	0.95838913469423	0.959249328329303	Assemblage1	0.95881923165531	19391	Rarefaction	1	527.063402167488	523.721446693779	530.405357641197
Assemblage1	19813	Rarefaction	1	527.979319670517	524.781666152547	531.176973188487	0.959689826539694	0.959259438893353	0.960120214186036	Assemblage1	0.959689826573234	19813	Rarefaction	1	527.979319701763	524.630807995175	531.327831408352
Assemblage1	20234	Rarefaction	1	528.861614015139	525.656606278508	532.066621751771	0.960527436048941	0.960096869768737	0.960958002329145	Assemblage1	0.960527436103742	20234	Rarefaction	1	528.8616140695	525.506873219579	532.21635491942
Assemblage1	20656	Rarefaction	1	529.716107832064	526.503963443679	532.928252220448	0.961337637089058	0.960907008847625	0.96176826533049	Assemblage1	0.961337636870681	20656	Rarefaction	1	529.716107582983	526.355424382158	533.076790783808
Assemblage1	21077	Rarefaction	1	530.540265381734	527.321224644397	533.75930611907	0.962118074250061	0.961687505043647	0.962548643456475	Assemblage1	0.962118074144569	21077	Rarefaction	1	530.540265274255	527.173943619321	533.906586929189
Assemblage1	21499	Rarefaction	1	531.339417891366	528.11367796376	534.565157818972	0.962873844532816	0.962443458496132	0.9633042305695	Assemblage1	0.962873844519976	21499	Rarefaction	1	531.339417880873	527.967725172011	534.711110589735
Assemblage1	21920	Rarefaction	1	532.111095467654	528.878875580982	535.343315354326	0.963602660143613	0.963172582310206	0.964032737977019	Assemblage1	0.963602660198031	21920	Rarefaction	1	532.111095526403	528.73431318918	535.487877863625
Assemblage1	22342	Rarefaction	1	532.860199492428	529.621679002378	536.098719982478	0.96430919783146	0.963879555487838	0.964738840175082	Assemblage1	0.964309198054832	22342	Rarefaction	1	532.860199726812	529.478574658131	536.241824795493
Assemblage1	22763	Rarefaction	1	533.584332283384	530.339711906654	536.828952660114	0.964991242854697	0.964562161126837	0.965420324582556	Assemblage1	0.964991242639995	22763	Rarefaction	1	533.584332047712	530.198124494946	536.970539600477
Assemblage1	23185	Rarefaction	1	534.288016963203	531.037460433155	537.538573493252	0.965653101785658	0.965224707574695	0.966081495996621	Assemblage1	0.965653101685645	23185	Rarefaction	1	534.288016869149	530.897455100476	537.678578637821
Assemblage1	23607	Rarefaction	1	534.970524382871	531.714202593237	538.226846172505	0.966294130812933	0.965866548245154	0.966721713380712	Assemblage1	0.966294130783966	23607	Rarefaction	1	534.970524349039	531.575837142525	538.365211555553
Assemblage1	24028	Rarefaction	1	535.631264017463	532.369353844063	538.893174190864	0.966913823233122	0.96648717187292	0.967340474593324	Assemblage1	0.966913823239253	24028	Rarefaction	1	535.631264033716	532.232681319463	539.029846747968
Assemblage1	24450	Rarefaction	1	536.274271337586	533.006916423389	539.541626251783	0.967516007560334	0.967090408659091	0.967941606461578	Assemblage1	0.967516007675967	24450	Rarefaction	1	536.274271475049	532.871992976239	539.67654997386
Assemblage1	24871	Rarefaction	1	536.897339912854	533.624703414294	540.169976411413	0.968098660055754	0.967674226691898	0.968523093419609	Assemblage1	0.96809866029782	24871	Rarefaction	1	536.897340167144	533.491574988047	540.30310534624
Assemblage1	25293	Rarefaction	1	537.504223972687	534.226437993514	540.78200995186	0.968665333547551	0.968242180754944	0.969088486340159	Assemblage1	0.968665333366127	25293	Rarefaction	1	537.504223770138	534.095155705935	540.913291834341
Assemblage1	25714	Rarefaction	1	538.092793932441	534.810009356185	541.375578508696	0.969214080346571	0.968792313197756	0.969635847495385	Assemblage1	0.969214080382058	25714	Rarefaction	1	538.092793984307	534.680612869577	541.504975099038
Assemblage1	26136	Rarefaction	1	538.666552417853	535.378891039763	541.954213795943	0.969748206162642	0.969327932143116	0.970168480182169	Assemblage1	0.969748206093307	26136	Rarefaction	1	538.666552337787	535.251424803632	542.081679871941
Assemblage1	26557	Rarefaction	1	539.223445427565	535.931047104161	542.515843750969	0.970265837863662	0.969847153018558	0.970684522708766	Assemblage1	0.970265837982035	26557	Rarefaction	1	539.223445547038	535.805544179206	542.641346914871
Assemblage1	26979	Rarefaction	1	539.766749225257	536.469726502896	543.063771947618	0.970770058923059	0.970353062306436	0.971187055539682	Assemblage1	0.970770058798378	26979	Rarefaction	1	539.766749089505	536.346224976281	543.187273202729
Assemblage1	27400	Rarefaction	1	540.294483832408	536.992966619168	543.596001045647	0.971259068706213	0.970843846727993	0.971674290684432	Assemblage1	0.971259068808115	27400	Rarefaction	1	540.294483940894	536.871491909305	543.717475972482
Assemblage1	27822	Rarefaction	1	540.809721014579	537.50381352706	544.115628502098	0.971735749976878	0.971322392740164	0.972149107213593	Assemblage1	0.971735749769843	27822	Rarefaction	1	540.809720791162	537.384397408136	544.235044174187
Assemblage1	28243	Rarefaction	1	541.310552555003	538.000375695631	544.620729414375	0.972198372301117	0.971786956305314	0.97260978829692	Assemblage1	0.972198372512407	28243	Rarefaction	1	541.310552785601	537.883037640641	544.738067930561
Assemblage1	28665	Rarefaction	1	541.799865063045	538.485515516933	545.114214609158	0.972649636530513	0.972240242702885	0.973059030358141	Assemblage1	0.972649636689608	28665	Rarefaction	1	541.799865221645	538.370279802043	545.229450641247
Assemblage1	29086	Rarefaction	1	542.27581954947	538.957410038288	545.594229060651	0.973087879983923	0.972680574902145	0.973495185065702	Assemblage1	0.973087879772312	29086	Rarefaction	1	542.275819321579	538.844288703265	545.707349939893
Assemblage1	29508	Rarefaction	1	542.741134342651	539.418754722059	546.063513963243	0.973515638091221	0.973110493511509	0.973920782670933	Assemblage1	0.97351563801503	29508	Rarefaction	1	542.741134259299	539.307767335384	546.174501183213
Assemblage1	29930	Rarefaction	1	543.195100007761	539.868846473992	546.521353541531	0.973932287763559	0.973529365867818	0.974335209659301	Assemblage1	0.973932287779032	29930	Rarefaction	1	543.195100032319	539.760004074602	546.630195990036
Assemblage1	30351	Rarefaction	1	543.63709318133	540.30706751394	546.967118848721	0.974337290060772	0.973936642941194	0.974737937180351	Assemblage1	0.97433729024252	30351	Rarefaction	1	543.63709338101	540.200372272933	547.073814489087
Assemblage1	30773	Rarefaction	1	544.069606750548	540.735889688975	547.403323812121	0.974732959057779	0.974334645090481	0.975131273025078	Assemblage1	0.974732958832256	30773	Rarefaction	1	544.069606511909	540.631351318195	547.507861705622
Assemblage1	31194	Rarefaction	1	544.490963944272	541.153650748344	547.8282771402	0.975117789779611	0.974721851876261	0.975513727682961	Assemblage1	0.975117789838569	31194	Rarefaction	1	544.490964017533	541.05126686679	547.930661168277
Assemblage1	31616	Rarefaction	1	544.903523004633	541.562688994538	548.244357014728	0.975493964282515	0.975100452333769	0.97588747623126	Assemblage1	0.975493964298388	31616	Rarefaction	1	544.903523015348	541.462462987164	548.344583043532
Assemblage1	32037	Rarefaction	1	545.305667488411	541.961401942672	548.649933034151	0.975860036033944	0.975468984257517	0.97625108781037	Assemblage1	0.975860036151239	32037	Rarefaction	1	545.305667608275	541.863325723575	548.748009492976
Assemblage1	32459	Rarefaction	1	545.699632119752	542.352005394095	549.04725884541	0.976218065864889	0.975829516104583	0.976606615625195	Assemblage1	0.976218065989627	32459	Rarefaction	1	545.699632255663	542.256078020687	549.143186490639
Assemblage1	32880	Rarefaction	1	546.083858227207	542.73295410001	549.434762354404	0.976566663059525	0.976180641384154	0.976952684734897	Assemblage1	0.976566663059089	32880	Rarefaction	1	546.083858224145	542.639161667829	549.52855478046
Assemblage1	33302	Rarefaction	1	546.460466505442	543.106350776074	549.81458223481	0.976907776923062	0.97652431761833	0.977291236227793	Assemblage1	0.976907776918109	33302	Rarefaction	1	546.460466494958	543.0146873944	549.906245595516
Assemblage1	33723	Rarefaction	1	546.827953664003	543.470705043807	550.185202284199	0.977240070049396	0.976859191612983	0.977620948485809	Assemblage1	0.977240070210296	33723	Rarefaction	1	546.827953838318	543.381152807569	550.274754869067
Assemblage1	34145	Rarefaction	1	547.188335253868	543.828015349893	550.548655157843	0.977565388840012	0.977187118515774	0.97794365916425	Assemblage1	0.977565388839378	34145	Rarefaction	1	547.188335247919	543.740563671371	550.636106824467
Assemblage1	34566	Rarefaction	1	547.540160699226	544.176843543679	550.903477854772	0.977882446790087	0.977506796097363	0.97825809748281	Assemblage1	0.977882446752317	34566	Rarefaction	1	547.540160656077	544.091470275402	550.988851036752
Assemblage1	34988	Rarefaction	1	547.885348462247	544.519091797646	551.251605126848	0.978192995141349	0.977819984809638	0.97856600547306	Assemblage1	0.97819299484041	34988	Rarefaction	1	547.885348126704	544.435781966641	551.334914286767
Assemblage1	35410	Rarefaction	1	548.223290873406	544.854157660459	551.592424086354	0.978496507032135	0.978126148487464	0.978866865576806	Assemblage1	0.978496507226653	35410	Rarefaction	1	548.223291086571	544.7728913298	551.673690843342
Assemblage1	35831	Rarefaction	1	548.55343872298	545.181496623123	551.925380822837	0.978792512337524	0.978424807731569	0.97916021694348	Assemblage1	0.978792512276082	35831	Rarefaction	1	548.553438644847	545.102245146949	552.004632142746
Assemblage1	36253	Rarefaction	1	548.877577665435	545.50287916713	552.25227616374	0.979082632524791	0.978717593796313	0.979447671253269	Assemblage1	0.979082632665291	36253	Rarefaction	1	548.877577818623	545.425623214352	552.329532422894
Assemblage1	36674	Rarefaction	1	549.194379027964	545.81698792981	552.571770126117	0.979365698288033	0.979003322062308	0.979728074513758	Assemblage1	0.979365698202338	36674	Rarefaction	1	549.194378933801	545.741696400042	552.647061467561
Assemblage1	37096	Rarefaction	1	549.505547542496	546.125513157113	552.885581927879	0.979643252225077	0.979283545219058	0.980002959231096	Assemblage1	0.979643252216712	37096	Rarefaction	1	549.505547525474	546.052163510485	552.958931540462
Assemblage1	37517	Rarefaction	1	549.809799442589	546.427181982979	553.192416902199	0.979914168175893	0.979557122034817	0.980271214316969	Assemblage1	0.97991416819199	37517	Rarefaction	1	549.809799454418	546.355739918089	553.263858990746
Assemblage1	37939	Rarefaction	1	550.108764163749	546.723609997085	553.493918330414	0.980179915369638	0.979825532074928	0.980534298664348	Assemblage1	0.980179915296147	37939	Rarefaction	1	550.108764081805	546.654049978515	553.563478185096
Assemblage1	38360	Rarefaction	1	550.401201130598	547.013567134524	553.788835126672	0.980439408759142	0.980087675495272	0.980791142023012	Assemblage1	0.98043940884014	38360	Rarefaction	1	550.401201216827	546.945853690695	553.85654874296
Assemblage1	38782	Rarefaction	1	550.688669212802	547.298599021518	554.078739404085	0.980694049175422	0.980344963649558	0.981043134701286	Assemblage1	0.980694049267418	38782	Rarefaction	1	550.688669317882	547.232703839884	554.14463479588
Assemblage1	39203	Rarefaction	1	550.969968841607	547.577516227288	554.362421455927	0.980942790807568	0.980596336232008	0.981289245383127	Assemblage1	0.980942790656772	39203	Rarefaction	1	550.96996866988	547.513401438807	554.426535900952
Assemblage1	39625	Rarefaction	1	551.246593525723	547.851799580127	554.64138747132	0.981186970609571	0.980843140852077	0.981530800367065	Assemblage1	0.981186970498439	39625	Rarefaction	1	551.24659340344	547.789434829758	554.703751977121
Assemblage1	40046	Rarefaction	1	551.517382584861	548.120298185627	554.914466984096	0.981425580197333	0.981084354954085	0.981766805440581	Assemblage1	0.981425580371378	40046	Rarefaction	1	551.517382779176	548.059644401579	554.975121156772
Assemblage1	40468	Rarefaction	1	551.783767944372	548.384431818483	555.183104070262	0.981659896798061	0.981321266503894	0.981998527092229	Assemblage1	0.981659896830706	40468	Rarefaction	1	551.783767980421	548.32545667555	555.242079285291
Assemblage1	40890	Rarefaction	1	552.045240583094	548.64369572074	555.446785445447	0.981889486323652	0.981553433670212	0.982225538977092	Assemblage1	0.981889486273857	40890	Rarefaction	1	552.04524052241	548.586362063376	555.504118981444
Assemblage1	41311	Rarefaction	1	552.301332761464	548.897626053296	555.705039469631	0.982113954330945	0.981780454525148	0.982447454136743	Assemblage1	0.982113954329601	41311	Rarefaction	1	552.301332755513	548.84189290922	555.760772601806
Assemblage1	41733	Rarefaction	1	552.553391004111	549.14755792542	555.959224082802	0.982334495411841	0.98200353443783	0.982665456385852	Assemblage1	0.982334495538939	41733	Rarefaction	1	552.553391150028	549.09339110588	556.013391194177
Assemblage1	42154	Rarefaction	1	552.800345501369	549.392430501292	556.208260501445	0.982550187495461	0.982221738045922	0.982878636945	Assemblage1	0.982550187681973	42154	Rarefaction	1	552.800345713201	549.339787621595	556.260903804807
Assemblage1	42576	Rarefaction	1	553.043490120787	549.63352668919	556.453453552384	0.982762174315775	0.982436219834948	0.983088128796602	Assemblage1	0.982762174206037	42576	Rarefaction	1	553.043489995125	549.582371913416	556.504608076834
Assemblage1	42997	Rarefaction	1	553.281788574071	549.869818875204	556.693758272938	0.982969565635961	0.982646076648433	0.983293054623489	Assemblage1	0.982969565866595	42997	Rarefaction	1	553.281788838997	549.82010981334	556.743467864655
Assemblage1	43419	Rarefaction	1	553.516485391722	550.102541058575	556.930429724869	0.983173457404992	0.982852415125506	0.983494499684477	Assemblage1	0.983173457383759	43419	Rarefaction	1	553.516485368385	550.054241028667	556.978729708103
Assemblage1	43840	Rarefaction	1	553.74657608288	550.330697142552	557.162455023209	0.983372989779613	0.983054362881328	0.983691616677898	Assemblage1	0.983372989723472	43840	Rarefaction	1	553.746576019481	550.283762907687	557.209389131274
Assemblage1	44262	Rarefaction	1	553.97325863129	550.555474981239	557.39104228134	0.983569213751831	0.983252981504479	0.983885445999183	Assemblage1	0.983569213664485	44262	Rarefaction	1	553.973258530082	550.509869722402	557.436647337762
Assemblage1	44683	Rarefaction	1	554.195559405896	550.775909067193	557.6152097446	0.983761298531279	0.98344742804657	0.984075169015989	Assemblage1	0.983761298655115	44683	Rarefaction	1	554.195559550949	550.731589311613	557.659529790284
Assemblage1	45105	Rarefaction	1	554.414632038017	550.99314328575	557.836120790285	0.983950252739799	0.983638721602896	0.984261783876703	Assemblage1	0.983950252786201	45105	Rarefaction	1	554.414632093768	550.950071239667	557.879192947869
Assemblage1	45526	Rarefaction	1	554.629532406543	551.206241379962	558.052823433124	0.984135273375995	0.983826047401549	0.984444499350441	Assemblage1	0.984135273486114	45526	Rarefaction	1	554.629532531119	551.164373601654	558.094691460583
Assemblage1	45948	Rarefaction	1	554.841372618134	551.416306072833	558.266439163435	0.984317329096275	0.984010384423355	0.984624273769195	Assemblage1	0.984317329243918	45948	Rarefaction	1	554.841372790211	551.375604945046	558.307140635377
Assemblage1	46369	Rarefaction	1	555.049236642582	551.622428951047	558.476044334117	0.984495643473567	0.984190944859934	0.9848003420872	Assemblage1	0.984495643439485	46369	Rarefaction	1	555.049236604962	551.58285066358	558.515622546345
Assemblage1	46791	Rarefaction	1	555.254197250358	551.825673742381	558.682720758334	0.984671147416863	0.984368669773207	0.98497362506052	Assemblage1	0.984671147154868	46791	Rarefaction	1	555.2541969385	551.787180181535	558.721213695466
Assemblage1	47213	Rarefaction	1	555.455839310139	552.025628735192	558.886049885087	0.984843494680452	0.984543207079162	0.985143782281741	Assemblage1	0.984843494605926	47213	Rarefaction	1	555.45583922005	551.988179483673	558.923498956427
Assemblage1	47634	Rarefaction	1	555.653776447885	552.221910727904	559.085642167866	0.985012366272513	0.984714232289226	0.9853105002558	Assemblage1	0.985012366351437	47634	Rarefaction	1	555.653776540982	552.185463353196	559.122089728768
Assemblage1	48056	Rarefaction	1	555.849026410501	552.415528899672	559.282523921329	0.985178640290868	0.984882633360556	0.98547464722118	Assemblage1	0.985178640405408	48056	Rarefaction	1	555.849026546848	552.380045204557	559.318007889139
Assemblage1	48477	Rarefaction	1	556.040738385372	552.605639491807	559.475837278937	0.98534160188997	0.985047685040496	0.985635518739444	Assemblage1	0.985341601817906	48477	Rarefaction	1	556.040738302004	552.571076855127	559.510399748881
Assemblage1	48899	Rarefaction	1	556.229895575724	552.793217438291	559.666573713156	0.985502096300759	0.985210242203575	0.985793950397944	Assemblage1	0.985502096266925	48899	Rarefaction	1	556.229895530403	552.759538206511	559.700252854294
Assemblage1	49320	Rarefaction	1	556.415671579956	552.977443183234	559.853899976679	0.985659431504559	0.985369602811284	0.985949260197835	Assemblage1	0.985659431508177	49320	Rarefaction	1	556.415671585703	552.944605613766	559.88673755764
Assemblage1	49742	Rarefaction	1	556.599017053549	553.159259394459	560.03877471264	0.985814421591846	0.98552659036839	0.986102252815302	Assemblage1	0.985814421569316	49742	Rarefaction	1	556.599017029299	553.127225809204	560.070808249393
Assemblage1	50163	Rarefaction	1	556.779128794707	553.337869515663	560.220388073751	0.985966396397222	0.985680525073682	0.986252267720761	Assemblage1	0.985966396380678	50163	Rarefaction	1	556.779128777183	553.306599235129	560.251658319237
Assemblage1	50585	Rarefaction	1	556.956926433066	553.51418545679	560.399667409343	0.986116140487415	0.985832200668912	0.986400080305918	Assemblage1	0.986116140482234	50585	Rarefaction	1	556.956926428015	553.483641163596	560.430211692434
