iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00317683568979521	0.00312360968542136	0.00323006169416906	Assemblage1	0.00317689983007441	1	Rarefaction	1	1.00002022634417	0.988093778087164	1.01194667460118
Assemblage1	280	Rarefaction	1	194.162225680363	193.65265533578	194.671796024947	0.317342784713233	0.315586455330616	0.31909911409585	Assemblage1	0.317342792380372	280	Rarefaction	1	194.162232912982	192.228017427805	196.096448398159
Assemblage1	559	Rarefaction	1	315.331800348479	314.283532651204	316.380068045753	0.434239367899084	0.432371925252244	0.436106810545924	Assemblage1	0.434239363484263	559	Rarefaction	1	315.331795417402	312.513294726072	318.150296108733
Assemblage1	838	Rarefaction	1	404.710679659408	403.174875225668	406.246484093148	0.510600012323228	0.508887495660452	0.512312528986005	Assemblage1	0.510600006522046	838	Rarefaction	1	404.710672552874	401.481907154962	407.939437950786
Assemblage1	1118	Rarefaction	1	475.182741846162	473.224290734411	477.141192957914	0.566827099041742	0.565296949426805	0.56835724865668	Assemblage1	0.56682710325284	1118	Rarefaction	1	475.182747269586	471.735107138007	478.630387401164
Assemblage1	1397	Rarefaction	1	532.475754971351	530.157164770551	534.794345172152	0.610454502403078	0.609092902680684	0.611816102125473	Assemblage1	0.610454500781253	1397	Rarefaction	1	532.475752736908	528.889428508653	536.062076965162
Assemblage1	1676	Rarefaction	1	580.465086691029	577.837183503969	583.09298987809	0.645736938475412	0.644527367362956	0.646946509587868	Assemblage1	0.645736940382303	1676	Rarefaction	1	580.465089264157	576.771606721582	584.158571806733
Assemblage1	1956	Rarefaction	1	621.575086910309	618.6783555104	624.471818310219	0.675123090781249	0.674051017561882	0.676195164000616	Assemblage1	0.675123092877311	1956	Rarefaction	1	621.575089925916	617.784984529769	625.365195322063
Assemblage1	2235	Rarefaction	1	657.067089560644	653.936175661332	660.198003459956	0.699906312258569	0.698957656333575	0.700854968183562	Assemblage1	0.699906313607257	2235	Rarefaction	1	657.067091432756	653.183150145892	660.951032719621
Assemblage1	2514	Rarefaction	1	688.198991328084	684.861422406757	691.536560249411	0.721215258583788	0.72037757737509	0.722052939792486	Assemblage1	0.721215258460439	2514	Rarefaction	1	688.19899114016	684.220973733603	692.177008546718
Assemblage1	2794	Rarefaction	1	715.872279668168	712.350205362977	719.394353973358	0.739829965579705	0.739092128265522	0.740567802893888	Assemblage1	0.739829966454953	2794	Rarefaction	1	715.872281001918	711.799491035819	719.945070968017
Assemblage1	3073	Rarefaction	1	740.501660514508	736.814811945976	744.18850908304	0.756144566466385	0.755495609036456	0.756793523896314	Assemblage1	0.756144565773753	3073	Rarefaction	1	740.501659466549	736.334917228813	744.668401704284
Assemblage1	3352	Rarefaction	1	762.663729073206	758.828196422421	766.49926172399	0.770625456685487	0.770055574662115	0.771195338708859	Assemblage1	0.770625456870214	3352	Rarefaction	1	762.663729374171	758.404575298377	766.922883449965
Assemblage1	3631	Rarefaction	1	782.730271731174	778.759793434562	786.700750027786	0.783576874971795	0.783076954095896	0.784076795847695	Assemblage1	0.783576875395461	3631	Rarefaction	1	782.730272418444	778.381194539547	787.079350297341
Assemblage1	3911	Rarefaction	1	801.061575598533	796.967568488491	805.155582708574	0.795277036619244	0.794838773966376	0.795715299272111	Assemblage1	0.795277037050825	3911	Rarefaction	1	801.061576292414	796.625504239181	805.497648345646
Assemblage1	4190	Rarefaction	1	817.769125466416	813.562333221454	821.975917711378	0.805832809126596	0.80544799683503	0.806217621418163	Assemblage1	0.805832807794274	4190	Rarefaction	1	817.769123402608	813.250126586375	822.288120218842
Assemblage1	4469	Rarefaction	1	833.120066456249	828.809492018749	837.43064089375	0.815441406349743	0.815102549887282	0.815780262812204	Assemblage1	0.815441404988605	4469	Rarefaction	1	833.120064231158	828.522222181009	837.717906281307
Assemblage1	4749	Rarefaction	1	847.32821294119	842.921462686838	851.734963195543	0.824258202272573	0.823958377823143	0.824558026722004	Assemblage1	0.824258200313714	4749	Rarefaction	1	847.328209791773	842.655504549668	852.000915033877
Assemblage1	5028	Rarefaction	1	860.43089734434	855.935365560805	864.926429127876	0.832323938603087	0.832056381126709	0.832591496079465	Assemblage1	0.832323938107313	5028	Rarefaction	1	860.430896538584	855.687890556741	865.173902520428
Assemblage1	5307	Rarefaction	1	872.597978863832	868.019942768227	877.176014959436	0.839757730909281	0.839516290939399	0.839999170879163	Assemblage1	0.839757731591091	5307	Rarefaction	1	872.597979889202	867.788927288191	877.407032490214
Assemblage1	5587	Rarefaction	1	883.968498438687	879.31331967826	888.623677199113	0.846655838104735	0.846434957768985	0.846876718440484	Assemblage1	0.846655839218262	5587	Rarefaction	1	883.96850034136	879.097334859201	888.839665823518
Assemblage1	5866	Rarefaction	1	894.54718581516	889.820216596014	899.274155034307	0.85303068852936	0.852825281940785	0.853236095117935	Assemblage1	0.853030689042819	5866	Rarefaction	1	894.547186688775	889.618144699188	899.476228678362
Assemblage1	6145	Rarefaction	1	904.450122982985	899.65594638721	909.24429957876	0.858960425387779	0.858766196295776	0.859154654479783	Assemblage1	0.858960424133846	6145	Rarefaction	1	904.450120960406	899.467037249996	909.433204670817
Assemblage1	6424	Rarefaction	1	913.741657578799	908.884435073655	918.598880083944	0.864490246212174	0.864303661625166	0.864676830799181	Assemblage1	0.864490245739988	6424	Rarefaction	1	913.741656804597	908.708185548965	918.77512806023
Assemblage1	6704	Rarefaction	1	922.508397071792	917.591714810192	927.425079333391	0.869677190264207	0.869495494477339	0.869858886051075	Assemblage1	0.869677190176819	6704	Rarefaction	1	922.508396947279	917.427845712101	927.588948182458
Assemblage1	6983	Rarefaction	1	930.737240653091	925.76478341715	935.709697889032	0.874518353391109	0.874339463288903	0.874697243493316	Assemblage1	0.874518354508239	6983	Rarefaction	1	930.737242521159	925.613053676227	935.861431366091
